iog,cog,fog,mmd,dpp,viol,seed,problem_id,model_id,n_samples,sigma
50633749.74569652,49150588.51052679,-1.2717858638874315,0.03738353814082601,7.109550764169547e-21,0.44,1,beams2d,cgan_cnn_2d,50,10.0
20305800.9087882,46976159.36110946,28.661571943849268,0.3438302433890458,5.2973092299534e-74,0.84,2,beams2d,cgan_cnn_2d,50,10.0
975.5860011351774,1026.4450549531425,-1.200834828767374,0.04743887843039091,3.3665186943641863e-18,0.76,3,beams2d,cgan_cnn_2d,50,10.0
456537322.13211983,439129846.23787576,15.056498080999406,0.2534406668693542,1.3849562295276792e-42,0.9,4,beams2d,cgan_cnn_2d,50,10.0
41247091.35927167,40332521.17295959,0.6145822531875105,0.044517336622178244,1.5946373951652089e-21,0.44,5,beams2d,cgan_cnn_2d,50,10.0
11498.2248829358,13187.954168994096,8.216039009003467,0.15932175511732255,1.7290756466761134e-40,0.76,6,beams2d,cgan_cnn_2d,50,10.0
307077241.4855282,297215018.529638,1.7648007704892223,0.11049737726434605,1.1162368935996902e-31,0.64,7,beams2d,cgan_cnn_2d,50,10.0
166043720.87622687,159663628.97264773,-0.3518747855288636,0.07230699869328838,1.8083204325449643e-26,0.76,8,beams2d,cgan_cnn_2d,50,10.0
13857.414062417236,13743.19562577023,-2.9507894136437716,0.0560954350863557,1.068506656605626e-27,0.62,9,beams2d,cgan_cnn_2d,50,10.0
379737437.90268445,366573755.14501196,-1.296892879205641,0.12760098628885813,1.4696447547792897e-28,0.56,10,beams2d,cgan_cnn_2d,50,10.0
